item,classC,classB
http://www.wikidata.org/entity/Q268592,http://www.wikidata.org/entity/Q16319025,http://www.wikidata.org/entity/Q57774188
http://www.wikidata.org/entity/Q265868,http://www.wikidata.org/entity/Q615837,http://www.wikidata.org/entity/Q1422057
http://www.wikidata.org/entity/Q265868,http://www.wikidata.org/entity/Q1884889,http://www.wikidata.org/entity/Q1422057
http://www.wikidata.org/entity/Q265868,http://www.wikidata.org/entity/Q3493614,http://www.wikidata.org/entity/Q1422057
http://www.wikidata.org/entity/Q309027,http://www.wikidata.org/entity/Q15052601,http://www.wikidata.org/entity/Q1410423
http://www.wikidata.org/entity/Q321263,http://www.wikidata.org/entity/Q3683086,http://www.wikidata.org/entity/Q1069954
http://www.wikidata.org/entity/Q321263,http://www.wikidata.org/entity/Q3862277,http://www.wikidata.org/entity/Q1069954
http://www.wikidata.org/entity/Q329303,http://www.wikidata.org/entity/Q5172461,http://www.wikidata.org/entity/Q272051
http://www.wikidata.org/entity/Q294414,http://www.wikidata.org/entity/Q3249024,http://www.wikidata.org/entity/Q132050
http://www.wikidata.org/entity/Q294414,http://www.wikidata.org/entity/Q67913204,http://www.wikidata.org/entity/Q57583239
http://www.wikidata.org/entity/Q299191,http://www.wikidata.org/entity/Q985834,http://www.wikidata.org/entity/Q131375
http://www.wikidata.org/entity/Q327333,http://www.wikidata.org/entity/Q3754526,http://www.wikidata.org/entity/Q11771944
http://www.wikidata.org/entity/Q299191,http://www.wikidata.org/entity/Q15898287,http://www.wikidata.org/entity/Q191448
http://www.wikidata.org/entity/Q299191,http://www.wikidata.org/entity/Q2526804,http://www.wikidata.org/entity/Q715883
http://www.wikidata.org/entity/Q317623,http://www.wikidata.org/entity/Q927865,http://www.wikidata.org/entity/Q1148887
http://www.wikidata.org/entity/Q317623,http://www.wikidata.org/entity/Q65037409,http://www.wikidata.org/entity/Q1148887
http://www.wikidata.org/entity/Q353344,http://www.wikidata.org/entity/Q831048,http://www.wikidata.org/entity/Q12817455
http://www.wikidata.org/entity/Q349843,http://www.wikidata.org/entity/Q3990978,http://www.wikidata.org/entity/Q2031939
http://www.wikidata.org/entity/Q378427,http://www.wikidata.org/entity/Q10336568,http://www.wikidata.org/entity/Q622813
http://www.wikidata.org/entity/Q391414,http://www.wikidata.org/entity/Q3651250,http://www.wikidata.org/entity/Q221706
http://www.wikidata.org/entity/Q391414,http://www.wikidata.org/entity/Q3651250,http://www.wikidata.org/entity/Q3488818
http://www.wikidata.org/entity/Q391414,http://www.wikidata.org/entity/Q640104,http://www.wikidata.org/entity/Q221706
http://www.wikidata.org/entity/Q391414,http://www.wikidata.org/entity/Q640104,http://www.wikidata.org/entity/Q3488818
http://www.wikidata.org/entity/Q417841,http://www.wikidata.org/entity/Q26921422,http://www.wikidata.org/entity/Q416781
http://www.wikidata.org/entity/Q417841,http://www.wikidata.org/entity/Q26921441,http://www.wikidata.org/entity/Q418917
http://www.wikidata.org/entity/Q417841,http://www.wikidata.org/entity/Q26987774,http://www.wikidata.org/entity/Q623090
http://www.wikidata.org/entity/Q417841,http://www.wikidata.org/entity/Q26987778,http://www.wikidata.org/entity/Q623090
http://www.wikidata.org/entity/Q417841,http://www.wikidata.org/entity/Q26987785,http://www.wikidata.org/entity/Q623090
http://www.wikidata.org/entity/Q474191,http://www.wikidata.org/entity/Q181138,http://www.wikidata.org/entity/Q83364
http://www.wikidata.org/entity/Q475699,http://www.wikidata.org/entity/Q1029573,http://www.wikidata.org/entity/Q64866310
http://www.wikidata.org/entity/Q476300,http://www.wikidata.org/entity/Q55655722,http://www.wikidata.org/entity/Q55655315
http://www.wikidata.org/entity/Q483394,http://www.wikidata.org/entity/Q5151404,http://www.wikidata.org/entity/Q40831
http://www.wikidata.org/entity/Q486972,http://www.wikidata.org/entity/Q20541692,http://www.wikidata.org/entity/Q13526752
http://www.wikidata.org/entity/Q578994,http://www.wikidata.org/entity/Q842428,http://www.wikidata.org/entity/Q17162726
http://www.wikidata.org/entity/Q578994,http://www.wikidata.org/entity/Q2264130,http://www.wikidata.org/entity/Q17162726
http://www.wikidata.org/entity/Q618779,http://www.wikidata.org/entity/Q1758647,http://www.wikidata.org/entity/Q1511010
http://www.wikidata.org/entity/Q618779,http://www.wikidata.org/entity/Q57082336,http://www.wikidata.org/entity/Q131647
http://www.wikidata.org/entity/Q655697,http://www.wikidata.org/entity/Q17176682,http://www.wikidata.org/entity/Q19921806
http://www.wikidata.org/entity/Q657326,http://www.wikidata.org/entity/Q58849706,http://www.wikidata.org/entity/Q177826
http://www.wikidata.org/entity/Q702842,http://www.wikidata.org/entity/Q2845944,http://www.wikidata.org/entity/Q679388
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q11417014,http://www.wikidata.org/entity/Q1142841
http://www.wikidata.org/entity/Q728001,http://www.wikidata.org/entity/Q126473,http://www.wikidata.org/entity/Q102786
http://www.wikidata.org/entity/Q728001,http://www.wikidata.org/entity/Q1786693,http://www.wikidata.org/entity/Q102786
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q15715760,http://www.wikidata.org/entity/Q44541
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q21503862,http://www.wikidata.org/entity/Q44541
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q21517662,http://www.wikidata.org/entity/Q44541
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q21513463,http://www.wikidata.org/entity/Q8196212
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q30005082,http://www.wikidata.org/entity/Q950976
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q12200,http://www.wikidata.org/entity/Q44541
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q67888145,http://www.wikidata.org/entity/Q636056
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q2284646,http://www.wikidata.org/entity/Q8196212
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q4229214,http://www.wikidata.org/entity/Q44541
http://www.wikidata.org/entity/Q746549,http://www.wikidata.org/entity/Q5233479,http://www.wikidata.org/entity/Q44541
http://www.wikidata.org/entity/Q771035,http://www.wikidata.org/entity/Q4456824,http://www.wikidata.org/entity/Q3439913
http://www.wikidata.org/entity/Q827335,http://www.wikidata.org/entity/Q1514741,http://www.wikidata.org/entity/Q17008256
http://www.wikidata.org/entity/Q827335,http://www.wikidata.org/entity/Q29684847,http://www.wikidata.org/entity/Q17008256
http://www.wikidata.org/entity/Q845132,http://www.wikidata.org/entity/Q2116450,http://www.wikidata.org/entity/Q12292478
http://www.wikidata.org/entity/Q860740,http://www.wikidata.org/entity/Q742672,http://www.wikidata.org/entity/Q845527
http://www.wikidata.org/entity/Q860740,http://www.wikidata.org/entity/Q79052868,http://www.wikidata.org/entity/Q845527
http://www.wikidata.org/entity/Q862597,http://www.wikidata.org/entity/Q2089987,http://www.wikidata.org/entity/Q9759
http://www.wikidata.org/entity/Q862597,http://www.wikidata.org/entity/Q927425,http://www.wikidata.org/entity/Q202287
http://www.wikidata.org/entity/Q862597,http://www.wikidata.org/entity/Q2713930,http://www.wikidata.org/entity/Q202287
http://www.wikidata.org/entity/Q874405,http://www.wikidata.org/entity/Q98033936,http://www.wikidata.org/entity/Q48282
http://www.wikidata.org/entity/Q929833,http://www.wikidata.org/entity/Q862872,http://www.wikidata.org/entity/Q703961
http://www.wikidata.org/entity/Q949302,http://www.wikidata.org/entity/Q6009373,http://www.wikidata.org/entity/Q7262033
http://www.wikidata.org/entity/Q931309,http://www.wikidata.org/entity/Q4115819,http://www.wikidata.org/entity/Q245341
http://www.wikidata.org/entity/Q1074328,http://www.wikidata.org/entity/Q98877537,http://www.wikidata.org/entity/Q98873597
http://www.wikidata.org/entity/Q1097498,http://www.wikidata.org/entity/Q95899747,http://www.wikidata.org/entity/Q93879636
http://www.wikidata.org/entity/Q1139327,http://www.wikidata.org/entity/Q5146910,http://www.wikidata.org/entity/Q476300
http://www.wikidata.org/entity/Q1130697,http://www.wikidata.org/entity/Q15051101,http://www.wikidata.org/entity/Q207700
